index,tomo_id,particle_id,x_map,y_map,z_map,x_map_a,y_map_a,z_map_a,v_x,v_y,v_z
82,syn_m13_ctrl_327_bin2,313, 120.500,  74.500,  84.500,2120.800,1311.200,1487.200,  -0.475,   0.878,   0.057
83,syn_m13_ctrl_327_bin2,549, 169.500,  90.500,  87.000,2983.200,1592.800,1531.200,  -0.348,   0.934,   0.083
84,syn_m13_ctrl_327_bin2,646,  88.000,  61.500,  33.500,1548.800,1082.400, 589.600,  -0.488,   0.871,   0.047
85,syn_m13_ctrl_327_bin2,657, 109.500,  71.500,  94.000,1927.200,1258.400,1654.400,  -0.287,   0.958,   0.026
86,syn_m13_ctrl_327_bin2,832,  97.500,  61.500,  41.500,1716.000,1082.400, 730.400,  -0.423,   0.905,  -0.047
87,syn_m13_ctrl_327_bin2,1105, 205.500, 101.500,  85.000,3616.800,1786.400,1496.000,  -0.270,   0.958,  -0.093
88,syn_m13_ctrl_327_bin2,1244,  73.500,  52.500,  70.000,1293.600, 924.000,1232.000,  -0.536,   0.840,  -0.078
89,syn_m13_ctrl_327_bin2,1938, 173.000,  92.500,  88.500,3044.800,1628.000,1557.600,  -0.347,   0.933,   0.093
90,syn_m13_ctrl_327_bin2,1941, 188.500,  98.500,  79.000,3317.600,1733.600,1390.400,  -0.274,   0.946,  -0.172
